,Names,Cause,State,Description,Phone,Address,Email,URL
0,Center For Social Security Action & Research (CSSAR),education,Delhi,"Centre for Social Security and Research aims at strengthening urban poor communities, especially the slum dwellers to participate in the development process for claiming their rights. Students who used to drop out of the schools because of unsatisfactory teaching methods or lack of finances to afford a tutor are regularly attending school these days owing to the remedial classes conducted by CSSAR. The education programme fills the gaps in school education and sustains the interest of children and their parents in a formal education system. The teachers pay individual attention to the students to have a better understanding of the subject. This has helped in enhancing their performance in their schools and motivated them to pursue higher studies.Spoken English classes are also conducted for secondary level school students to enhance their communication skills and make them better equipped for the future. Remedial classes to the school going slum girl children are conducted separately to reach out to the girls in the slums who are generally side-lined or neglected in the education system due to various constraints. So far, CSSAR has educated 3104 children. About 500 children attend the remedial classes every year.Support an underprivileged child with remedial classes.",+91 11 25512685,"R A R 429, 3rd floor,  Rajendra Arihant Tower,  B-1, Community Centre,  Janakpuri, New Delhi 110058",yogendrajha65@yahoo.com,https://www.giveindia.org/nonprofit/center-for-social-security-action-research-cssar
1,Mazi Sainik Shikshan Ani Swasthya Kalyan Sanstha,education,Maharashtra,"The Mazi Sainik Shishan ani Swasthya Kalyan Sanstha (MSSASKS) is a charitable Trust. It has been established by ex servicemen (ESMs) and like minded civilians. The genesis of the Trust lies with the formation of the Bombay Ex servicemen Association in 1990. This Organisation has been established by Mr. M Prasad a retired Masterchief of the Indian Navy, Capt Sharma (Indian Army) and others with Cmde. BB Mistry (retd) as the Patron, inspiration, mentor and guide. By 2004 the Association had been successful in the rehab of 300 ESMs and had settled the problems related to pensions of 15 dependents.In 1994, a plan to establish a Sainik Nagar to provide affordable housing to ESMs was launched and land acquired near Karjat about 120 Kms from Bombay for a pilot Project. After numerous hitches and hurdles the Project commenced. Today there are 15 row houses with the PBORs and like minded civilians at the lowest possible cost to owner.The location of this Project is at village Diksal. Continuous visits in connection with the housing Project brought the ESMs in contact with the inhabitants. The locals were mainly Tribals, underprivileged and the marginalized. Electricity, clean drinking water, facilities for health, hygiene, and education was a far cry. The people wallowed in neglect and accepted destitution as their fate.Mr. Prasad and the ESMs decided to dedicate time and effort to improve the lot of the locals. They embraced them as their own.Total Receipts for 2016-2017 - INR 568627Total Payments for 2016-2017 - INR 1409134Activities and reach for the latest full Financial YearNo. of student transported - 146No. Of student provided by with tutions - 146Sponsor monthly bus fees for a tribal child in a remote area.",+91 93225 17908,"Daffodils English Medium Charitable School, Dikshal, Post Koshane, Karjat, Dist: Raigad, PIN - 410201",biman.mistry@gmail.com,https://www.giveindia.org/nonprofit/mazi-sainik-shikshan-ani-swasthya-kalyan-sanstha
2,Annamrita Foundation,children,Maharashtra,"Annamrita is the strategic Mid Day Meal Programme by the government of India and run by IKSCON Food Relief Foundation, which aims to liberate the unprivileged children from malnourishment and illiteracy. Their program is based on the belief that 'you are what you eat'. They provide a nutritious meal to the children in school to attract them to school, thus, serving two purposes of curbing illiteracy and malnourishment. One nutritious meal a day brings thousands of children to school. Their goal is that no child should be deprived of education due to poverty and hunger. Undernourishment is one of the major conditions hitting the children of India., thus, Annamitra has resolved to provide good quality and hygienic food straight out of ISO certified kitchens. The food prepared is of high nutritional value, suitable for growing children. With healthy food and a full-stomach, they can concentrate better on their studies. Presently, Annamitra caters over 12,00,000 meals every day from 20 kitchen centers across 8 states. In 2016, ISKCON Food Relief Foundation was awarded the D.Y. Patil Annual Achievers Award by the Dr. D. Y. Patil Group, as the best organization for distributing midday meals to underprivileged children.",91 93225 17908,"19, Jaywant Industrial Estate, 63 Tardeo Road, Mumbai 400034 Maharashtra",Missing,https://www.giveindia.org/nonprofit/annamrita-foundation
3,JK MAASS Foundation,differently abled,Tamil Nadu,"JK MAASS Foundation is a social, health, development and empowerment agency servicing differently abled people from underprivileged communities for the past 16 years. The Foundation is dedicated to the rehabilitation of the differently abled and works for their upliftment in the urban slums and rural areas of Madurai district. It was started with the aim of providing services like physiotherapy, speech therapy and special education to children affected by Cerebral Palsy and counselling to their parents.The founder being a professional Physiotherapist has dedicated himself to the well being of Differently Abled persons. He is well known as a professional trainer for identification and rehabilitation of orthopaedic disabilities.",+91 04522384555,"Corporation School Complex, Pillaimar Street, Arapalayam, Madurai 625016 Tamilnadu",msjeyaram151@yahoo.co.in,https://www.giveindia.org/nonprofit/jk-maass-foundation
4,Mobile Creches for Working Mothers Children,children,Delhi,"Mobile Creches for Working Mothers aims to build a just and caring world which enables young children of marginalized and mobile population to develop into competent and confident individuals.Ms. Sumitra Mishra, the Executive Director of Mobile Creches has twenty years of work experience ranging from grassroots direct practice, rural, urban poor and urban contexts, programme delivery and partnerships, grant management, fund raising and communications, research and advocacy, and organisation development. She has a focus on development, establishing linkages between local resources, community embedded programmes and effectiveness measured in terms of poverty reduction and increased participation by stakeholders. .Number of children provided with supplementary nutrition - 25Number of exposure visits of children done for practical learning - 30The first Mobile Creche was set up in 1969 at a construction site in Delhi to provide basic care for children of migrant workers. Early Child care is a preventive strategy that enables the young child to blossom, the older sibling to go to school and the mother to work.Fund nutritious meals for a construction worker child",+91 01123347281,"DIZ Area, Sector IV, Raja Bazar, New Delhi 110001 Delhi",suman.p@mobilecreches.org,https://www.giveindia.org/nonprofit/mobile-creches-for-working-mothers-children
5,National Society for Equal Opportunities for the Handicapped,differently abled,Maharashtra,"The concept of creating an umbrella organization for the differently-abled emerged as a result of a conference held in 1968 on ""Rehabilitation of the Differently abled"", following which a group of eminent professionals, doctors, and social workers came together to establish the National Society for Equal Opportunities for the Handicapped (NASEOH). Though NASEOH started off with the initial purpose of creating awareness about issues concerning the differently-abled in the areas of Education, Vocational Training, and Employment, they later decided to provide direct services through capacity building for effective integration. They do this through various projects in the areas of Education, Vocational Training, Employment, Rehabilitation, and Disability prevention. Apart from this, NASEOH also assists the differently abled by identifying and providing them with suitable mobility aids like wheelchairs, calipers, tricycles, crutches, and splints. Most of these appliances are manufactured in-house by trainees and employees in their Welding workshop in Mumbai.Sponsor vocational training to a differently abled person.",+91 22 25220224,"Postal Colony Road,  Chembur, Mumbai 400071  Maharashtra",yogeeshetty@rediffmail.com,https://www.giveindia.org/nonprofit/national-society-for-equal-opportunities-for-the-handicapped
6,Navjyoti India Foundation,education,Delhi,"Navjyoti India Foundation is a not-for-profit organisation which challenges the social inequalities and empowers the vulnerable by making them independent to help themselves. Navjyoti began with an aim to improve, correct de-addiction and rehabilitation of the drug addicts as a crime prevention measure. They have established many camps and programs to help people to face the economic and social challenges. They have their members over to 4900 to assist the poor people by their outreach activities.They also focus to empower women through various projects, they have educated 1109 women till now. They have cover 977 women and children were skilled in the skills up-gradation program. Because of their hard work and dedication, they were awarded 'The Pride of India Award 2015' by the Toppers Education Society Education; 'The Promoting Women Empowerment Award 2016' by the Ph.D. Chamber 'Women Empowerment. They were also awarded the Swachh Doot' Award 2016 by the North-Ex Cooperative Society for their Environment & Social Reform; 'Health Care Leadership Award 2012' by the Knowledge Resource Development and Welfare Group Health Care;and Quality Initiative Mission Award 2013 for Innovation and Excellence in School Education by the Knowledge Resource Development and Welfare Group(KRDWG) Child Education.Help a child overcome learning challenges",+91 11 47100706,"Khasra No. 99, Majri Karala,  Main Kanjhawala Road,  Near Sector 22, Rohini, New Delhi 110081 Delhi",neetu.sharma@navjyoti.org.in,https://www.giveindia.org/nonprofit/navjyoti-india-foundation
7,Pahal Jan Sahyog Vikas Sansthan,health,Madhya Pradesh,"PAHAL is a resource agency on the issue of Gender equity and women rights. Throughout Madhya Pradesh, PAHAL organizes capacity building programs for various Government and Non Government Organizations. The organisation is actively involved in sensitization/orientation programs on the Domestic Violence Act 2005, supporting women who survive violence and promoting gender equity laws. PAHAL also counsels victims of domestic violence and harassment, guides them about the legal procedures, helps them in communicating with protection officers, police department, Women & Child Development department and lawyers. PAHAL runs a medical centre at Indore which provides free of cost services to the poor slum dwellers of surrounding areas. The center provides medical examination, ANC/PNC checkups, vaccination, free medicines and counseling on nutrition & family planning.Sponsor two months nutrition support for a poor T B Patient",+91 731 4222197,"65, Janki Nagar MainIndore 452001 Madhya Pradesh",pahal6867@gmail.com,https://www.giveindia.org/nonprofit/pahal-jan-sahyog-vikas-sansthan
8,Sankara Nethralaya,health,Tamil Nadu,"Located in Chennai, Tamil Nadu, Sankara Nethralaya has grown tremendously since its commencement thanks to the unconditional and generous support received from all quarters of society and has gained international excellence for its quality and affordable eye care services. Its goals include providing quality ophthalmic care at affordable cost to patients, free eye care treatment to indigent patients and teaching and training an army of personnel to combat blindness affecting the population of India.Today, the institute has over 84 eye care professionals examining around 2,600 patients and performing around 200 surgeries every day. About 50 % of the out-patient department and 35 % of the surgeries are done free of cost to the underprivileged. It offers state-of-the-art facilities and has 32 operation theaters equipped with the latest equipment. Sankara Nethralaya is one of the leading super specialty institutions for ophthalmic care in India. Sankara Nethralaya, meaning ""The Temple of the Eye"", was founded in 1978 as a unit of Medical Research Foundation.",+91 44 2820 2448,"18, College Road, Chennai 600006 Tamilnadu",alagiri@snmail.org,https://www.giveindia.org/nonprofit/sankara-nethralaya
9,Saath (Initiatives for Equity in Development),children,Gujarat,"Saath (which in Hindi/Gujarati means 'together, co-operation, a collective or support'), is an NGO in India registered as a Public Charitable Trust and is based in Ahmedabad, Gujarat. They closely work with the vulnerable communities and empowers the socially marginalized by providing them livelihood linkages, imparting skills leading to employment, health and education facilities. The focus areas of Saath are livelihoods, skill development, health and education, rights, urban governance, financial inclusion, rehabilitation and resettlement and other community development initiatives.  Saath envisions inclusive and empowered communities and individuals.They aspire to make human settlements equitable living environments where all residents and vulnerable people have access to health, education, essential infrastructure services and livelihood options, irrespective of their economic and social status.They have received several accolades for its programs, internal systems, organizational ethics, best practices in resource mobilization and sustainability models, the latest one of them being the - India NGO Award 2014-15 in the Medium category.  In the last 27 years, they have rendered their services to several slum residents, migrants, minorities, children, women, youth and vulnerable people in Gujarat, Rajasthan, and Maharashtra (Mumbai) and have touched the lives of more than 5,00,000 individuals.Help underprivileged children enjoy fun activities.",+91 79 26926604,"O-102, Nandanvan - V  Nr. Prernatirth Derasar,  Jodhpur Tekra  Ahmedabad 380015 Gujarat",niraj@saath.org,https://www.giveindia.org/nonprofit/saath-initiatives-for-equity-in-development
