Url,NGO Name,Popular Name,Year of Establishment,GuideStar URL,Full Time Staff,Full Time Volunteers,Brief description,Annual Expenditure (Rs in lacs),Year for Annual Expenditure,Impact,Profile pic,Organisation Website,Email,Telephone/ Mobile number,Correspondence  Address,Cause(s),Nature of Intervention,Beneficairies,Focus,Area of Operation: State,PAN
https://www.givingtuesdayindia.org/ngo-detail/37765,`Sahaj' (An Organisation for Women's Development),Sahaj,2001,https://guidestarindia.org/Summary.aspx?CCReg=6485 ,70,,"Sahaj is an organization working for skill development, empowerment and employment of women.It is apart of an organized social movement that seeks to promote sustainable development of rural & tribal communities. Since 1989, Sahaj is working with tribal women of the Dahod district of eastern Gujarat and provides home-based livelihood opportunities. Its core purpose is to encourage economic empowerment of women through home based handcrafted and handmade products, uplift their social status and strive for their education, health and financial security. At present, the organization is working with 5,000 tribal women, out of which500 women are working on direct livelihood activities and earn around Rs. 45,000 per annum.
We have developed a beautiful range of commercially viable products, with the use oftheirhandicraft skills, design development and training support provided by our experts/trainers. We have been successful in creating a niche market for this beautiful products and developed a pro-tribal brand over the years. We have expanded our activities beyond economic empowerment, and are now looking at various other activities for social change.
We would like to scale-up our present successful model and cover another 5,000 women by 2023 and provide them skills and training for sustainable livelihood through handcrafted products. We are also planning to establish a Livelihood School to provide continuous support & services for community development",,,"The Strategic review and plan was done in year 2015. The process restructuring the organization is continued and Team participated in it with full involvement. It bring in a different environment and understanding about Sahaj.
New designs were developed and New products introduced to the market.
Training in skill development and skill up gradation continue and new artisans were involve in production.",https://www.givingtuesdayindia.org/civicrm/file/imagefile?id=1334&eid=37765&fcs=d57cb7704c6abd228e44ba110335e691828bd1bc0b28ef55074eb8763711c8a6_1575212355_168#,http://www.sahajindia.org,admnsahaj@outlook.com,"91-2673-245215, 91-2673-245215","Desai Automobile Compound,
Garbada Road, Padav    Dahod, 
Dahod, Gujarat  389151","Community Development, Education, Healthcare, Livelihoods, Women",Direct service,"Children, Girl Child, Dalits, Artisans, Rural Poor, Tribals, Women, Farmers / Farm Labourers",Rural,Gujarat,AACTS0036Q
https://www.givingtuesdayindia.org/ngo-detail/28935,"""DIVYA RASA"" (Centre for Healing, Learning, Research and Communication)",Divya Rasa - Temple of Love,2015,https://guidestarindia.org/Summary.aspx?CCReg=9995 ,3,5,"Divya Rasa is an NGO dedicated to serve autistic individuals and their peer groups. As of now we are daily taking care of 12 autistic adolescents and supporting their families. The services we render are free of cost, as per the core value of selfless service and unconditional love.",,,"Financially steady zero-balance after operational costs
Solid routine with children on individual and group level
Staff working independently with children",,http://www.divyarasa.org,divyarasa555@divyarasa.org,91-9176300657,"Divya Rasa - Temple of Love, Su Kilnachipattu,
Then Mathur post, near Arunai Engineering college    Tiruvannamalai, 
Tiruvannamalai, Tamil Nadu  606603",Education,Direct service,"Children, Adolescents, Adults, Volunteers",Rural & Urban,Tamil Nadu,AACTD2691L
https://www.givingtuesdayindia.org/ngo-detail/29057,"""Sankalp"" Manav Vikas Sanstha",,1992,https://guidestarindia.org/Summary.aspx?CCReg=10479 ,,,"Sankalp Manav Vikas Sanstha is a registered organization working since its inception in 1992, in Parbhani, Jalna, Aurangabad & Latur districts in the Marathwada region of Maharashtra state. The work mainly is related to the empowerment and socio-economic development of the underprivileged communities especially with women, children, youth and small and marginal farmers. Since last two years work started with the youth of in Mumbai slums through skill training and placements.
Sankalp has been working on the different issues of children, women and deprived communities including education, health, protection and participation and livelihood. The emphasis is being given on the empowerment of women through SHGs and entrepreneurship. Organic farming a",,,,,,sudhakarsankalp@gmail.com,91-9096696633,"Sudhakar Kshirsagar,Gautam Nagar Pathari,
Pathari    Parbhani, 
Tq. Pathari, Maharashtra  431506","Children, Community Development, Education, Healthcare, Livelihoods, Women, Youth",Advocacy & Campaigning,"Physically Challenged, Children, Girl Child, Adolescents, Dalits, Disaster Affected, Adults, Juvenile, Rural Poor, Youth, Migrants, Slum Dwellers, Women",Rural & Urban,,AAETS2349N
https://www.givingtuesdayindia.org/ngo-detail/34261,"""VISHA"" VOCATIONAL INSTITUTES SOCIAL,HEALTH AND AGRICULTURE",VISHA NGO,2012,https://guidestarindia.org/Summary.aspx?CCReg=9807 ,3,23,"Vocational Institutes Social,Health and Agriculture is located in Koraput, Orissa.VISHA is a grassroots social and non- profits character NGO. Now VISHA is working rural poor, needy and deprived tribal people‚Äôs social and economic sector development.Initially working in areas of Block- LAXMIPUR, Dist- KORAPUTState- ORISSA in INDIA. VISHA fully depend on collect money of trustees and some local people‚Äôs contribution, (who are appreciating our works). Within that little money VISHA working some activities for needy people‚Äôs Literacy and children Education, Health, Women empowerment, Public awareness, Livelihood and agriculture sector development in the needy communities. local collect money is not sufficient for organized more needy and long term welfare activities, also previously VISHA NGO never approach any foundation or supporter due to VISHA has no below potentials, now VISHA N.G.O have below documents are Registration as Trust acts on - 2012, Registration F.C.R.A act on- 2017 and also Registration under income tax exemption 12AA& 80G on - 2018.",,,,,,kptvisha@gmail.com,91-9438022310,"Goutam Nagar Last Lane,,
koraput    Koraput, 
Koraput, Odisha  764020","Children, Education, Healthcare, Livelihoods, Women","Support, Network, Direct service","Children, Girl Child, Adolescents, Dalits, Adults, Rural Poor, Youth, Tribals, Women, Farmers / Farm Labourers",Rural & Urban,Odisha,AACTV0963D
https://www.givingtuesdayindia.org/ngo-detail/34050,17000 ft Foundation,17000 ft,2012,https://guidestarindia.org/Summary.aspx?CCReg=5027 ,29,0,"17000 ft Foundation is a Not for profit setup to improve lives of people settled in very remote mountainous hamlets, in areas that are inaccessible and isolated due to reasons of harsh mountainous terrain. 17000 ft has its roots in high altitude Ladakh, a desolate cold desert in the Himalayan mountainous state of Jammu and Kashmir, India, home to hundreds of tiny, remote villages scattered across the high altitude mountains. With bare minimum infrastructure, the people of these villages suffer from isolation and neglect, unwilling but driven to migrate to faraway cities in search of a better life.
Our mission is to draw attention to ancient communities living in isolated mountainous terrains, create opportunities for development and help them live transformed lives within their chosen regions.",,FY 2018-19,"980 SCHOOLS GEO-MAPPED
All the 960 schools of Leh and Kargil districts have been successfully geo-mapped and assessed with demographic, quantitative and pictorial information. The database contains information about each and every school and village of Ladakh and can be used by the foundation to plan, create and implement new initiatives across Ladakh.",https://www.givingtuesdayindia.org/civicrm/file/imagefile?id=1603&eid=34050&fcs=6a44b3534685dd99d4ad5967090f2e299d7c3bdc448ba5da222d04ea8f0e3a63_1575212362_168#,http://www.17000ft.org,reach.us@17000ft.org,91-9871100334,,Education,"Direct service, Support","Adolescents, Children, Girl Child, Rural Poor, Students, Teachers, Volunteers, Youth",Rural,Jammu and Kashmir,AAACZ5957C
https://www.givingtuesdayindia.org/ngo-detail/34241,A New Friends Club,ANFC,2000,https://guidestarindia.org/Summary.aspx?CCReg=9383 ,10,100,"ANFC founded in July, 2000, is a volunteering movement that inspires youth to volunteer and provides them with meaningful opportunities to serve the community.
The goal of ANFC is to support school, destitute shelters, government hospitals and other organization in the social sector through volunteers who can help them mitigate some of their shortcoming and challenges. Volunteering is made easy and customized to individual's interests, time availability and skill sets.",,,,,,anfc2000@gmail.com,91-9416484636,,"Education, Youth","Direct service, Network, Support, Advocacy & Campaigning, Grant-making, Intermediary","Adolescents, Artisans, Artists, Children, Dalits, Elderly, Patients, Physically Challenged, Plants, Rural Poor, Students, Weavers, Women, Youth, NGOs",Rural & Urban,Haryana,AABTA4179R
https://www.givingtuesdayindia.org/ngo-detail/26628,aaina,Aaina,1999,https://guidestarindia.org/Summary.aspx?CCReg=742 ,53,3,"Aaina, which literally means ‚ÄòMirror‚Äô, is a voluntary organization operating in the state of Odisha, India since 1998. Persons with disabilities, children and women are the focal point of our work.Aaina has been working extensively in the state covering the rural and tribal population at one end and the professionals, administrative agencies, Govt. officials and legislators at the other end.Our work includes Community Based Rehabilitation, promoting the inclusion and rights of women & children and various other initiatives.
VISION: To see a world of identity, dignity and equal opportunities for underprivileged people, especially women, children and persons with disabilities, adopting a creative approach and needs based strategies.
IT IS WORKING WITH NEARLY 5000 PEOPLE AND CHILDREN WITH DISABILITIES IN ODISHA.",,,"1. Aaina received a grant award from U.S. Consul Hyderabad to organised a 2 day state level convention on trafficking of women with disability. The convention was a platform for professionals from diverse back ground including Government, Legal Dept, Service Providers and Advocates to discuss onthe sensitive topic and put together theimperative steps that need to be taken.
2.aaina‚Äôs continuous success in organizing We Care Film Fest in partnership with Brotherhood has made aaina an established organization to conduct festival every year . We Care Film Festival is a travelling festival to create awareness on the issue of disability through the medium of short films. Aaina has been successful to challenge youth to rethink about disAbility and also has also acted as a platform for navØve local artiststo be recognized at national level. Due to the established image and expertise ofaaina, Unicef proposed aaina to partner in organizingFilm Contest on the theme of Child Violence. The contest turned out to be a major success where 27 entries were received on the issue of Child violence with sub themes of Child marriage, Child sexual abuse, Corporal punishment and child labour.Aaina has been successful in being a platform for passionate and youth to bring social change through visual media. 
one of the lead organizations in coordinating the services and responses. Ganjam, aaina‚Äôs major geographic area of operation faced terrible after effects of flooding. Aaina proactively intervened to meet the rescue and relief demands keeping in mind 1999 Super cyclone. The efforts were immediate as well as in following months taking into consideration the long term needs. 3865 Households were provided immediate relief, 2167 households were provided Materials in recovery process.Sanitation Campaign was carried out in 76 villages and education Kit was provided to 1790 students. 
3.Shortlisted by Dasra and NGO awards
In the 2014, was shortlisted by Dasra to be among the among the top 5 organizations nation wide for Girl Power awards. Aaina has successfully carried out activities in relation to reduce gender bias in community participation andateducational level. Aaina‚Äôs efforts were particularly appreciated by Dasra for its keen involvement in Menstrual Hygiene project for Adolescent girls and women. Aaina was also shortlisted amongst the top 10 organizations by NGO awards 2014-15 where organizations are evaluated on the basis of effective and sustainable mobilization of resources, the demonstration of efficient management of resources, good governance practices, transparency and accountability.",https://www.givingtuesdayindia.org/civicrm/file/imagefile?id=1335&eid=26628&fcs=e25af4a277da5de458a3980e5cad7a2ca7d1a89d30c494db3abef1d13e0e2ff1_1575212366_168#,http://www.aaina.org.in,secretary@aaina.org.in,"91-674-2360630, 91-674-2360631",,"Children, Disabled, Women, Emergency Relief","Advocacy & Campaigning, Direct service","Physically Challenged, Children, Girl Child, Adolescents, Dalits, Disaster Affected, Adults, Rural Poor, Slum Dwellers, Tribals, Mentally Challenged, Women",Rural & Urban,Odisha,AAATA5524F
https://www.givingtuesdayindia.org/ngo-detail/34030,AAS Samiti,AAS Indore,2005,https://guidestarindia.org/Summary.aspx?CCReg=4654 ,15,10,"AAs was founded in 2005 as an initiative by a group of mere seven like minded youths to bring a new vision and thought to the society and individuals. AAs got registered as a legal body under Madhya Pradesh Societies Registration Act with name ‚ÄúAAs ‚Äì Aim for the Awareness of society‚Äù. (Registration No: 03/27/3/0431/05) 
AAs works to bring Hopes to the Society and especially to those deprived ones ‚Äì first by identifying them, and then by taking most suitable rescues steps for them ‚Äì so that they are brought back to the main stream and so that they acquire the same dignity and happy stature that every Man in the world has a right to get.",,,,https://www.givingtuesdayindia.org/civicrm/file/imagefile?id=1337&eid=34030&fcs=27dfe344992d0e3d5a04ad9d440a8d8b9bddaaa800636b44addbb9113df11d81_1575212368_168#,http://www.aasindore.org,aasindia@hotmail.com,91-9827300186,,"Youth, Emergency Relief",,,,Madhya Pradesh,AACTA5032C
https://www.givingtuesdayindia.org/ngo-detail/27317,AASHALATA VICTORIA WILKINSON MEMORIAL CHARITABLE TRUST,,2006,https://guidestarindia.org/Summary.aspx?CCReg=2374 ,30,5,"The goal of the organization is to create an environment in the community where attitude, knowledge, skills and information help the members to inculcate a shift in perception, and where through educational and skill development participation they present themselves as an active, healthy and productive part of society. The aim is to provide the community members reasonable opportunities whereby they get conducive environment to realize their potential. For the realization of this purpose the programme expects to achieve following objectives within stipulated time.
Non-formal Education
Remedial Education Programme
Vocational Training",,,"1. Expansion of School Building.
2. Number of beneficiary increased.
3. More cultural function conducted by the organization",,http://www.aashalata.org,victoriawilkinsontrust@yahoo.co.in,91-9910002002,,"Education, Environment, Healthcare, Livelihoods",Support,"Urban poor, Children, Girl Child, Street Children, Adults, Students, Artists, Youth, Slum Dwellers, Women",Rural & Urban,Delhi,AADTA2809A
https://www.givingtuesdayindia.org/ngo-detail/28799,Aashray Society,AASHRAY,2002,https://guidestarindia.org/Summary.aspx?CCReg=9396 ,4,,"Aashray Society has been in operation since 2002. We are a nonprofit society dedicated to the cause of creating sustainable projects in educating the children of construction site workers, rag pickers, rickshaw pullers, vegetable vendors etc.",,,,,http://www.aashray-india.org,aashray_society@hotmail.com,,,Children,Direct service,"Children, Girl Child, Adolescents, Street Children, Women",Urban,Uttar Pradesh,AABTA0476H
