Url,Name,NGO Name,Collected (in $),Target (in $),Donations (in $),Description,Challenge,Solution,Long-Term Impact,Location,Website,Facebook,Twitter
https://www.globalgiving.org/projects/provide-gift-and-food-to-poor-children/,Provide Gift & food to 700 Street Children,Rajasthan Samgrah Kalyan Sansthan,41594,56000,912,"Under this project, 700 street & poor slum children will be given Nutrition food, Gift, New Dress, Lunch/Dinner, Toys & Happiness. The Program will be quite unique. For poor street & slum children all this is a dream. But will it be possible. A meal & gifts for 700 poor children life will become a golden memory.","The future of poor children in India living along the street is in darkness. Due to a lack of education these children have stolen loot, have addictions, have gone the way of crime. Because alienating get them from all over the place. These children need love, happiness, counselling and guidance.","Under this project, the festival will provide street poor children's dinner, dress, toys and gifts. There will be cutting of cake, face painting, driving electric cars, sharing of gifts, singing and dancing. The kids will have Nutritional and delicious rice, meat, chicken and ice cream in their diet and a soft drink. Dinner and gifts for Street poor children life will become a golden memory.","RSKS project ''Provide Gift and food to poor children in India'' This exposure will enable kids relax, share gifts, share their experiences, and tell stories in a wonderful new environment outside home for one day with the RSKS volunteers. Dinner and gifts for Street poor children will become a golden memory.Everything we do for these kids now will never be erased from their memories.","Ajmer, India, Rajasthan - India",http://www.rsksindia.ngo,https://www.facebook.com/rsksindia,https://twitter.com/RSKSINDIA
https://www.globalgiving.org/projects/education-in-india-1/,Send a Child in India to School for a Year,Seva Mandir,504231,525000,9516,"Seva Mandir's primary schools provide children in disadvantaged tribal areas with access to quality education in an interactive and joyful environment. Children are enabled to join mainstream schools, having become confident, independent learners.","Access to education in these areas is limited (a) because it is often locally unavailable, (b) because of domestic and economic pressures forcing children to work, and (c) because it has traditionally not been accorded value.  Nearly half of rural children in our area are out of school, and literacy levels are around just 33%.","Seva Mandir runs primary schools catering to children from poor tribal families in 583 villages of Rajasthan.  The schools operate in rooms donated by, or rented from, villagers. SM involves local communities in the management of its schools and trains local instructors. Our schools equip children with essential skills for coping with the challenges of contemporary life. They learn literacy and numeric skills, hygiene, and creative activities.  Visits to city/zoo/library are also undertaken.",Enabling children to read and write independently with comprehension; enabling marginalized tribal communities to experience alternative and meaningful education; empowering communities to demand quality education from the government.,"Udaipur, Rajasthan - India",http://www.sevamandir.org,https://www.facebook.com/sevamandir,https://twitter.com/sevamandir
https://www.globalgiving.org/projects/kids-in-india-need-clean-water/,You Can Give Kids in India Clean Water,Splash,230918,300000,9050,"The unrelenting vision of Splash is to bring clean water, clean hands, and clean toilets to kids living in urban poverty. In 2018, we've implemented full water, sanitation, and hygiene interventions at 150 new schools in Kolkata, India. Additionally, we forged ahead with hygiene education in partnership with the Indian government by training 1,800 teachers with Splash curriculum. Your generosity brings dignity, good health, opportunity and joy to kids in Kolkata and other just like them!","Kolkata's water, sanitation, and hygiene conditions in government schools are extremely poor, negatively affecting the health, education, and dignity of the poorest  children. In 2015, Splash conducted a citywide baseline survey of schools which revealed some alarming conditions. 70% of schools had water what tested positive for Total Coliform and 56% tested positive for E. coli. While 91% of schools had a toilet, 33% had no water for flushing and 34% had no lighting, 35% lacked a lock or door.","Splash has developed a holistic WASH intervention designed to be durable, scalable,  and cost-efficient for governments to adopt for the long-term. We aim to implement this intervention in 100% of schools in Kolkata - 1,250 kindergarten, primary, and secondary serving approximately 400,000 children. We will: 1) Improve WASH infrastructure in schools to create an environment for healthy behaviors, 2) Promote WASH behavior change in kids, and 3) Rehabilitate and improve sanitation facilities.","Your support will: reduce illness and days of school missed; improve health and, thereby, greatly increase each child's chance to fulfill his or her maximum potential; impact the entire community when children take clean water and healthy behaviors home and; in many cases, give the larger community access to our free, clean water.","Seattle, WA - USA",http://www.splash.org,https://www.facebook.com/splashglobal,https://twitter.com/Splash_org
https://www.globalgiving.org/projects/help-for-south-indias-suffering-animals/,"Rescue,Love,Save-1000's of Suffering Animals.India",Arunachala Animal Sanctuary & Rescue Shelter,248728,500000,4478,"Known as the SHELTER WITH HEART. Our dogs/puppies run free and are happy cared for by a devoted Staff of 25 plus 3 full time vets. They're not just in captivity. They have a life. OUR BELIEF IS THAT DEEP HEALING ONLY TAKES PLACE IF A CREATURE FEELS SAFE, CARED FOR,AND LOVED. We use traditional and alternative medicine AND LOVE to lift suffering from over 7000 homeless dogs/puppies,and tens of thousands of others. 1ST-TIME PEOPLE SOMETIMES GET TEARY. THEY DIDN'T KNOW A PLACE SUCH AS OURS EXISTED.","WHEN WE FIRST OPENED JANUARY 2007 there were over 7000 homeless dogs and the stray population was out of control. With no small animal vet within 75 kms, no treatment facility, rabies, and widespread abuse, there was unbounded misery. There were actually 350 suffering and dying animals on the streets-mostly dogs and puppies, but others too (monkeys, cows, squirrels, peacocks, etc.)...IT WAS AWFUL.","LOVE, LOVE, AND MORE LOVE...7 major programs: Clinic. Hospital. Sanctuary (if a creature cannot make it on its own). Adoption program (over 1000 puppies placed in good homes). 24/7 emergency rescue. Hospice (we are a no-kill shelter) RESULT: Population is now rabies-free and decreasing for first time in forty years. No more suffering and dying animals on the streets. 10,000 fewer puppies born each year. AND MOST IMPORTANT... Relationship of homeless animals with the people has been transformed..","REPEATING: THE MOST IMPORTANT THING THAT HAS HAPPENED IS THAT THE RELATIONSHIP BETWEEN THE HOMELESS DOGS AND THE PEOPLE AMONGST THEY LIVE DAY IN, DAY OUT HAS BEEN TOTALLY TRANSFORMED. Without that transformation, the impact of whatever else is done (stricter laws, clinics, hospitals, shelters, rescue programs) is severely limited. The animals would be subject to the same indifference, the same unaided difficulties in their search for food and water, the same absence of affection.","Tiruvannamalai, Tamil Nadu - India",http://arunachalaanimalsanctuary.com/,https://www.facebook.com/arunachalaanimalsanctuary,
https://www.globalgiving.org/projects/stop-violence-against-womens-in-india/,Stop Violence Against Women's in India,Rajasthan Samgrah Kalyan Sansthan,61820,70000,1045,"27,933 cases Approx of violence against women are registered in police station yearly in Rajasthan, under this project, in the victim, harassed by domestic violence, will get legal aid, as well as awareness programs against violence will be run at the macro level. So that society may stick together against violence. The attitude of men towards women will be changed from which this male dominated society will respect women. Abuse will be reduced. Women will live respectfully.","More than 40 complaints a day of violence against women are registered in police stations 10 rape cases in every 24 hours and 3 women are assassinated for dowry in every 48 hours. This is not any story. These are fearful facts of which is being happened against women in Rajasthan. According to NCRB, 27933 cases of violence against women, 3285 rape cases and 15094 cases of domestic violence were registered in different police stations of Rajasthan in 2013. 453 women were assassinated for dowry.","Legal assistance will be provided to the victims of violence through this project so that the moral of the victims of violence will soar and they will get courage to fight against violence. Awareness programs such as Road shows, posters etc. will bring awareness in the society, so that the cases of violence may reduce in number. Women will be cautious towards their legal rights through legal awareness camp, after that they can combated torture and violence against women will be eliminated","The victims of Domestic violence, exploitation will fight against exploitation, violence using their legal rights and the culprits will get punished by which domestic violence will be tailed off. Men influenced by awareness programs will respect women. The society will openly support the victims in the fight against domestic violence, the resulting, fear will be pervaded in culprits and the violence against women will be eliminated.","Ajmer, India, Rajasthan - India",http://www.rsksindia.ngo,https://www.facebook.com/rsksindia,https://twitter.com/RSKSINDIA
https://www.globalgiving.org/projects/dharamsala-animal-rescue/,Help Street Dogs in Dharamsala and Save Lives,Dharamsala Animal Rescue,194949,250000,3297,"Each year in India, 40,000 people die of rabies. Dharamsala Animal Rescue (DAR) was founded to help the thousands of stray dogs and protect the community from rabies. Your help gives dogs a better life and lowers the risk of rabies.","There are thousands of homeless dogs living on the streets of Dharamsala, many of them sick, injured, or starving. Dharamsala Animal Rescue (DAR) works to implement a humane prevention program called ABC (animal birth control, sterilization and vaccination) along with animal rescue and adoption programs. DAR also helps any kind of animal in need including cows, donkey, cats, or monkeys.","For the past few years, DAR funded the only dog clinic in the entire state of Himachal Pradesh. Hundreds of dogs have been sterilized and vaccinated the population has decreased. Hundreds of dogs, cats (though there are few) monkeys, donkeys, horses, cows, and birds for injuries and diseases have been treated. We are also proud to say that within the immediate town of Dharamsala there have been no new cases of human deaths by rabies since 2008 when we began funding programs.","We are hoping as we raise awareness of our work, that we will be able to spread to the surrounding towns and the entire state of Himachal Pradesh. As you move outside of Dharamsala, the conditions severely worsen where there is no one doing this work. The animals are hungry and sick and many. In the past few months there are been some reports of human deaths by rabies in these communities. If we expand, we know that we can humanely control the population of the street dogs and have good results.","North Kingstown, RI - USA",http://www.dharamsalaanimalrescue.org/,https://www.facebook.com/DharamsalaAnimalRescue,
https://www.globalgiving.org/projects/support-kids-out-of-poverty-and-child-labour/,Help 10 000 kids escape poverty and child labour,Karuna Trust,116047,120000,2513,"Helping children and their families from 'untouchable' communities in rural India escape poverty, child-labour in 'bidi' cigar factories, and ill-health through education, health care and livelihood support.","Caste & religious discrimination results in these families being dependent on bonded labor, rolling raw tobacco into cigarettes. Children are at risk through exposure to the tobacco atmosphere in the womb, as infants & as child-laborers (from 7 yrs old). The children are from low-caste Hindu, Tribal & Muslim families who are uneducated, do not own land or have alternative livelihoods.11500 children in the project villages will be helped, along with their families; a total of 40,000 people.","Providing an integrated program of education, health-care & livelihood schemes stopping child labor, including provision of access to education (20 pre-school and creche facilities), mobile health clinics & micro-finance self-help savings groups.","Each child can access education, proper health care, nutrition, and recreation to enable them to have a childhood free from child-labour and child-marriage, and to support their overall development and the completion of their education.","London, England - United Kingdom",http://www.karuna.org/,https://www.facebook.com/karuna.org,
https://www.globalgiving.org/projects/educate-after-school-underprivilege-children-india/,Educate after school-underprivilege children-India,"Community Health, Housing and Social Education (CHHASE)",40920,50000,687,"This project will promote academic success, pay school fees, school kit to under privileged and to tribal children. This project will ensure the children education without drop-out. 241 child labor tribal children who have been mainstreamed also benefitted in this program. Afterschool program, a safe space that support healthy social and emotional development, and promote academic success. Educating the under privileged ultimately will make a change for whole family and future generations.","Our children need to have learning extended beyond the classrooms to receive the academic and social enrichment that is needed for them to do well in school and prepare for the future. Providing our programs in a safe and engaging environment is CHHASE's highest priority. We work in partnership with each community, school, and family to design the program that meets the specific needs. We employ an experienced leadership team and provide a healthy snack.","After school education will help students realize their potential, supplement knowledge and to compensate skill gaps. CHHASE makes sure 1000 under privileged & tribal children remain active, motivated, and happy during their time away from school. Educating the under privileged ultimately will make a change for whole family and future generations.","CHHASE serves students from 1st grade through 12th grade and supports them to reach their full academic potential, prepare for college, and in turn give their time and talents back to their communities. We partner with parents, teachers, and the community to address the comprehensive education needs of our children and advocate for healthy families.","Tiruvallur District, Tamilnadu - India",http://www.chhaseindia.org/,"https://www.facebook.com/Globalgiving,globalgiving.uk",
https://www.globalgiving.org/projects/education-for-every-child-in-india/,Education for Every Child in India,Rajasthan Samgrah Kalyan Sansthan,12486,27000,313,"This project will provide educational stuffs (uniform, school fees, books, sweater, notebooks, pen, pencil, stationary, etc.) to more than 500 underprivileged poor Girls students of rural regions in Ajmer so that they may be able to develop their educational standard. This project will help the marginalized children to get better opportunities to be educated and to contribute in the development of society.","According to the survey of Sarva Shiksha Abhiyan 2013-14, 13.20 lakh children of 6-14 age group leave school every year in Rajasthan state because these students have to face all sorts of problems to get education. Due to the pathetic conditions of deprived families, their guardians are not able to afford their school spending because of which intelligent and ambitious students get miles away from the school education.","Distributing educational stuffs to 500 underprivileged school girl students will help them to get equal opportunities for education. The project will help the poor students to be conscious towards education which will reduce the problem of school drop-out to some extent. As the parents will get help in getting educational stuffs, they will motivate their children to get school education and the children will gain confidence.","500 poor students will get major help to get education by distributing educational material project and they will also get better opportunities for higher education, the problem school drop-out will end. Being educated 500 marginalized students will set up the development of their village and illiterate parents will also get some help.","Ajmer, India, Rajasthan - India",http://www.rsksindia.ngo,https://www.facebook.com/rsksindia,https://twitter.com/RSKSINDIA
https://www.globalgiving.org/projects/better-doctors-india/,Helping medical students become better doctors,QMed Knowledge Foundation,40902,50000,597,"When medical students become doctors they have to stay updated with the best available evidence of global practices. QMed teaches them the skills to search online for the best evidence - a lacuna in their training. This becomes ingrained in their daily activities, resulting in better patient care. We have reached out to around 23000 participants and need to cover nearly a million.  We launched our first Online course in May 2018, to increase our reach, and have added two more in 2019","Healthcare delivery needs to be based on best practices in the world. Searching online resources is a daunting task. Members of the governing bodies of the country, themselves being untrained, have not included &quot;correct searching methods&quot; in the curriculum. The current teachers, librarians & professionals - not trained in this task - cannot teach these to students; so healthcare providers may not retrieve the best available evidence. Patients thus may not be treated based on the best evidence.","This project will help medical students, residents and teachers understand the importance and the correct scientific ways of searching for the best available evidence. Teachers and librarians will guide students better, and students who learn these skills today will teach the same to students of tomorrow. Online modules of these courses will ensure reaching out to a wide audience across the country. Students and doctors will save a lot of time and give patients better evidence based care.","By empowering students, librarians and health professionals with strong search skills, there will be a huge improvement in their research activities. Research output in India will increase and be evidence based. The investments made by libraries and research bodies for access to research resources, will be well utilized. Doctors and students will have lot more time for patients and for themselves. The community will get healthcare services based on best global practices","Mumbai, Maharashtra - India",http://www.qmed.ngo,https://www.facebook.com/QMedKF,https://twitter.com/QMedKF
